,Type,Description,Suffix,Description,Metric Name,Description,Values for `period`,Name,Description,Metric Name,Description,Values for `period`,Metric Name,Description,Values for `period`,Metric Name,Description,Values for `period`,Metric Name,Description,Values for `period`,Metric Name,Description,Values for `period`,Name,Description,Name,Description,Metric Name,Description,Values for `period`,Metric Name,Description,Values for `period`,Metric Name,Description,Values for `period`,Metric Name,Description,Values for `period`,Name,Description,Source Type Name,Description,Metric Name,Description,Values for `period`,Metric Name,Description,Values for `period`,Metric Name,Description,Values for `period`,Metric Name,Description,Values for `period`,Name,Description,Metric Name,Description,Values for period,Parameter,Description,Error,Description
0,Access Tokens,A Page access token requested by a person who can perform the ANALYZE task on the Page.,_unique,"Indicates that the metric shows the number of unique users who performed a specific action, for example page_impressions_unique. Metrics generated with the _unique suffix are approximate and may not be 100% accurate.",page_tab_views_login_top_unique,The number of users logged in to Facebook who saw tabs on your Page. (See possible types),"day, week",allactivity,Administrative tab,page_total_actions,The number of clicks on your Page's contact info and call-to-action button.,"day, week, days_28",page_engaged_users,The number of people who engaged with your Page. Engagement includes any click.,"day, week, days_28",page_impressions*,"The number of times any content from your Page or about your Page entered a person's screen. This includes posts, stories, check-ins, ads, social information from people who interact with your Page and more.","day, week, days_28",page_posts_impressions*,"The number of times your Page's posts entered a person's screen. Posts include statuses, photos, links, videos and more.","day, week, days_28",post_engaged_users*,The number of people who clicked anywhere in your posts.,lifetime,hide_clicks,Hide this story,answer,Answer a question,post_impressions*,"The number of times your Page's post entered a person's screen. Posts include statuses, photos, links, videos and more.",lifetime,post_reactions_like_total,"Total ""like"" reactions of a post.",lifetime,page_actions_post_reactions_like_total,"Daily total post ""like"" reactions of a page.","day, week, days_28",page_fans,The total number of people who have liked your Page.,day,Ads,Page likes that came from people who saw your Page or post in an ad.,Deactivated or Memorialized Account Removals,The Page likes that were removed due to deactivated or memorialized accounts.,page_video_views,"The number of times your Page's videos played for at least 3 seconds, or for nearly their total length if they're shorter than 3 seconds. During a single instance of a video playing, we'll exclude any time spent replaying the video.","day, week, days_28",page_views_total,The number of times a Page's profile has been viewed by logged in and logged out people.,"day, week, days_28",post_video_avg_time_watched,"The average time, in milliseconds, people viewed your videos. Only available for videos created after August 25th 2016. Returns 0 for reshared videos.",lifetime,page_content_activity_by_action_type_unique,"The number of people talking about your Page's stories, by Page story type. (See possible types)","day, week, days_28",checkin,Page checkins,page_daily_video_ad_break_ad_ impressions_by_crosspost_status,The total number of times an ad was shown during ad breaks in crossposted videos.,day,"date_presetenum{today, yesterday, this_month, last_month, this_quarter, lifetime, last_3d, last_7d, last_14d, last_28d, last_30d, last_90d, last_week_mon_sun, last_week_sun_sat, last_quarter, last_year, this_week_mon_today, this_week_sun_today, this_year}","Preset a date range, like lastweek, yesterday. If since or until presents, it does not work.",100,Invalid parameter
1,Features,Not applicable.,_login,"Indicates whether a person was logged into Facebook, for example, page_tab_views_login_top.",page_tab_views_login_top,The number of times users logged in to Facebook saw tabs on your Page. (See possible types),"day, week",app,Custom created tab,page_cta_clicks_logged_in_total,Total number of clicks on the Page CTA button by people who are logged in to Facebook.,"day, week, days_28",page_post_engagements*,"The number of times people have engaged with your posts through reactions, comments, shares and more.","day, week, days_28",page_impressions_unique*,"The number of people who had any content from your Page or about your Page enter their screen. This includes posts, stories, check-ins, ads, social information from people who interact with your Page and more.","day, week, days_28",page_posts_impressions_unique*,"The number of people who had any of your Page's posts enter their screen. Posts include statuses, photos, links, videos and more.","day, week, days_28",post_negative_feedback*,The number of times people took a negative action in your post (e.g. hid it).,lifetime,hide_all_clicks,Hide all posts from this page,claim,Claim an offer,post_impressions_unique*,"The number of people who had your Page's post enter their screen. Posts include statuses, photos, links, videos and more.",lifetime,post_reactions_love_total,"Total ""love"" reactions of a post.",lifetime,page_actions_post_reactions_love_total,"Daily total post ""love"" reactions of a page.","day, week, days_28",page_fans_locale,Aggregated language data about the people who like your Page based on the default language setting selected when accessing Facebook.,day,News Feed,Page likes that came from people who saw content posted by your Page or about your Page in News Feed.,Other,"The Page likes that were removed due to reasons other than deactivated or memorialized accounts, suspicious accounts, unlikes from Page, Posts, or NewsFeed, or unlikes from search.",page_video_views_paid,"The number of times your Page's promoted videos played for at least 3 seconds, or for nearly their total length if they're shorter than 3 seconds. For each impression of a video, we'll count video views separately and exclude any time spent replaying the video.","day, week, days_28",page_views_logout,The number of times a Page's profile has been viewed by people not logged in to Facebook.,day,post_video_complete_views_organic,"The number of times your videos played from the beginning to 95%, or more, of its length, by organic reach. During a single instance of a video playing, we'll exclude any time spent replaying the video. Returns 0 for reshared videos.",lifetime,page_content_activity_by_age_gender_unique,The number of People Talking About the Page by user age and gender. This number is an estimate.,"day, week, days_28",coupon,Offer claims,page_daily_video_ad_ break_cpm_by_crosspost_status,"The average amount paid by advertisers for 1,000 of impressions of their ads in a crossposted videos. This is a gross number and includes the amount paid to Facebook.",day,metriclist<A valid metric for an insights endpoint>,The list of metrics that needs to be fetched,200,Permissions error
2,Permissions,"read_insights, pages_read_engagement",_logout,"Indicates whether a person is logged out of Facebook, for example page_views_logout.",page_tab_views_logout_top,The number of times users not logged in to Facebook saw tabs on your Page. (See possible types),day,info,About tab view,page_cta_clicks_logged_in_unique,Unique number of clicks on the Page CTA button by people who are logged in to Facebook.,"day, week, days_28",page_consumptions,The number of times people clicked on any of your content.,"day, week, days_28",page_impressions_paid*,The number of times any content from your Page or about your Page entered a person's screen through paid distribution such as an ad.,"day, week, days_28",page_posts_impressions_paid*,The number of times your Page's posts entered a person's screen through paid distribution such as an ad.,"day, week, days_28",post_negative_feedback_unique*,"The number of people who took a negative action in your post (e.g., hid it).",lifetime,report_spam_clicks,Report an object as a spam,comment,Comment on a story,post_impressions_paid*,The number of times your Page's post entered a person's screen through paid distribution such as an ad.,lifetime,post_reactions_wow_total,"Total ""wow"" reactions of a post.",lifetime,page_actions_post_reactions_wow_total,"Daily total post ""wow"" reactions of a page.","day, week, days_28",page_fans_city,"Aggregated Facebook location data, sorted by city, about the people who like your Page.",day,Page Suggestions,Page likes that came from people saw your Page in a list of suggested Pages.,Suspicious Account Removals,The Page likes that were removed due to suspicious account activity.,page_video_views_organic,"The number of times your Page's videos played for at least 3 seconds, or for nearly their total length if they're shorter than 3 seconds, by organic reach. During a single instance of a video playing, we'll exclude any time spent replaying the video.","day, week, days_28",page_views_logged_in_total,The number of times a Page's profile has been viewed by people logged in to Facebook.,"day, week, days_28",post_video_complete_views_organic_unique,"The number of people who viewed your videos from the beginning to 95%, or more, of its length, by organic reach. During a single instance of a video playing, we'll exclude any time spent replaying the video. Returns 0 for reshared videos.",lifetime,page_content_activity_by_city_unique,The number of People Talking About the Page by user city.,"day, week, days_28",event,RSVPing to event,page_daily_video_ad_ break_earnings_by_crosspost_status,"An estimate of the amount you earned from ad breaks in a crossposted videos, based on the number of impressions and CPM of ads shown. Actual payments may differ if there are content ownership claims or other adjustments.",day,"periodenum{day, week, days_28, month, lifetime}",The aggregation period,190,Invalid OAuth 2.0 Access Token
3,Page Tasks,{ANALYZE](/docs/pages/overview#tasks),_source,"Indicates that the metric will be broken down into a list of referral sources, for example page_fans_by_like_source. External referrals are broken down by domain. Internal referrals are broken down by Facebook-specific features such as Profile, Search, Requests, Suggestions, Stream, etc. In these cases the value returned will be an object containing a series of key-value pairs where the key is the source name and the value is the metric for that source.",,,,insights,Insights tab,page_cta_clicks_by_site_logged_in_unique,"Number of people who are logged in to Facebook and clicked on the CTA button, broken down by www, mobile, api or other.","day, week, days_28",page_consumptions_unique,The number of people who clicked on any of your content.,"day, week, days_28",page_impressions_paid_unique*,The number of people who had any content from your Page or about your Page enter their screen through paid distribution such as an ad.,"day, week, days_28",page_posts_impressions_paid_unique*,The number of people who had any of your Page's posts enter their screen through paid distribution such as an ad.,"day, week, days_28",post_negative_feedback_by_type*,The number of times people took a negative action in your post broken down by type.,lifetime,unlike_page_clicks,Unlike a page,like,Like a story,post_impressions_paid_unique*,The number of people who had your Page's post enter their screen through paid distribution such as an ad.,lifetime,post_reactions_haha_total,"Total ""haha"" reactions of a post.",lifetime,page_actions_post_reactions_haha_total,"Daily total post ""haha"" reactions of a page.","day, week, days_28",page_fans_country,"The number of people, aggregated per country, that like your Page. Only the 45 countries with the most people that like your Page are included.",day,Restored Likes from Reactivated Accounts,Page likes that came from people who reactivated their Facebook profile.,"Unlikes from Page, Posts, or News Feed",The Page likes that were removed from people who saw content posted by your Page or about your Page in News Feed.,page_video_views_by_paid_non_paid*,"The number of times your Page's videos played for at least 3 seconds, or for nearly their total length if they're shorter than 3 seconds, broken down by total, paid, and non-paid. During a single instance of a video playing, we'll exclude any time spent replaying the video.","day, week, days_28",page_views_logged_in_unique,The number of people logged in to Facebook who have viewed the Page profile.,"day, week, days_28",post_video_complete_views_paid,"The number of times your promoted videos played from the beginning to 95%, or more, of its length. For each impression of a video, we'll count video views separately and exclude any time spent replaying the video. Returns 0 for reshared videos.",lifetime,page_content_activity_by_country_unique,"The number of people, aggregated per country, that are talking about your Page. Only the 45 countries with the most people talking about your page are included.","day, week, days_28",fan,Page likes,post_video_ad_break_ad_impressions,The total number of times an ad was shown during ad breaks in your videos.,"day, lifetime",show_description_from_api_docboolean,"Default value: falseIf set to true, then an additional description of the metric, retrieved from the API doc(https://developers.facebook.com/docs/graph-api/reference/insights) will be included in the returned data",80001,"There have been too many calls to this Page account. Wait a bit and try again. For more info, please refer to https://developers.facebook.com/docs/graph-api/overview/rate-limiting."
4,,,*,"Indicates that a metric is refreshed several times during the day, for example page_impressions_unique*.",,,,likes,Likes tab,page_cta_clicks_by_age_gender_logged_in_unique,"Number of people who are logged in to Facebook and clicked the Page CTA button, broken down by age and gender group.","day, week, days_28",page_consumptions_by_consumption_type,"The number of times people clicked on any of your content, by type.","day, week, days_28",page_impressions_organic*,"The number of times any content from your Page or about your Page entered a person's screen through unpaid distribution. This includes posts, stories, check-ins, social information from people who interact with your Page and more.","day, week, days_28",page_posts_impressions_organic*,The number of times your Page's posts entered a person's screen through unpaid distribution.,"day, week, days_28",post_negative_feedback_by_type_unique*,The number of people who took a negative action in your post broken down by type.,lifetime,,,link,Share a story,post_impressions_fan*,The number of impressions for your Page post by people who have liked your Page.,lifetime,post_reactions_sorry_total,"Total ""sad"" reactions of a post.",lifetime,page_actions_post_reactions_sorry_total,"Daily total post ""sorry"" reactions of a page.","day, week, days_28",page_fans_gender_age,"The number of people who saw any of your posts at least once, grouped by age and gender. Aggregated demographic data is based on a number of factors, including age and gender information users provide in their Facebook profiles. This number is an estimate.",day,Search,Page likes that came from people who saw you Page or post in search.,Unlikes from Search,The Page likes that were removed from people who saw your Page or post in search.,page_video_views_autoplayed,"The number of times your Page's videos automatically played for at least 3 seconds, or for nearly their total length if they're shorter than 3 seconds. During a single instance of a video playing, we'll exclude any time spent replaying the video.","day, week, days_28",page_views_external_referrals,Top referrering external domains sending traffic to your Page.,day,post_video_complete_views_paid_unique,"The number of people who viewed your promoted videos from the beginning to 95%, or more, of its length. For each impression of a video, we'll count video views separately and exclude any time spent replaying the video.",lifetime,page_content_activity_by_locale_unique,The number of People Talking About the Page by user language.,"day, week, days_28",mention,Page mentions,post_video_ad_break_earnings,"An estimate of the amount you earned from ad breaks in your videos, based on the number of impressions and CPM of ads shown. Actual payments may differ if there are content ownership claims or other adjustments.","day, lifetime",sincedatetime,Lower bound of the time range to consider,3001,Invalid query
5,,,,,,,,locations,Map tab,page_cta_clicks_logged_in_by_country_unique,"Number of people who are logged in to Facebook and clicked the Page CTA button, broken down by country.","day, week",page_consumptions_by_consumption_type_unique,"The number of people who clicked on any of your content, by type.","day, week, days_28",page_impressions_organic_unique*,"The number of people who had any content from your Page or about your Page enter their screen through unpaid distribution. This includes posts, stories, check-ins, social information from people who interact with your Page and more.","day, week, days_28",page_posts_impressions_organic_unique*,The number of people who had any of your Page's posts enter their screen through unpaid distribution.,"day, week, days_28",post_engaged_fan,People who have liked your Page and engaged with your post.,lifetime,,,other,"Other types, such as checkins",post_impressions_fan_unique*,The number of people who have like your Page who saw your Page post.,lifetime,post_reactions_anger_total,"Total ""anger"" reactions of a post.",lifetime,page_actions_post_reactions_anger_total,"Daily total post ""anger"" reactions of a page.","day, week, days_28",page_fan_adds,The number of new people who have liked your Page.,day,Your Page,Page likes that came from people who visited your Page.,,,page_video_views_click_to_play,"The number of times your Page's videos played for at least 3 seconds, or for nearly their total length if they're shorter than 3 seconds, after people clicked play. During a single instance of a video playing, we'll exclude any time spent replaying the video.","day, week, days_28",page_views_by_profile_tab_total,The number of people who have viewed each Page profile tab.,"day, week, days_28",post_video_retention_graph*,"The number of times your videos played at each interval as a percentage of all views. Videos are divided into 40 equal intervals. This metric does not count impressions while the video was live. Retention graphs may show more impressions later in the video than at the beginning. People might start the video in the middle, skip ahead, save, and rewatch it from that point, or other similar behaviors.",lifetime,page_content_activity,The number of stories created about your Page (Stories).,"day, week, days_28",page post,Posts by a Page,post_video_ad_break_ad_cpm,"The average amount paid by advertisers for 1,000 impressions of their ads in your videos. This number also includes the amount paid to Facebook.","day, lifetime",untildatetime,Upper bound of the time range to consider,3008,Query exceeded maximum date range
6,,,,,,,,photos,Photos tab,page_cta_clicks_logged_in_by_city_unique,"Number of people who are logged in to Facebook and clicked the Page CTA button, broken down by city.","day, week",page_places_checkin_total,The number of times people checked into a place.,"day, week, days_28",page_impressions_viral*,"The number of times any content from your Page or about your Page entered a person's screen with social information attached. Social information displays when a person's friend interacted with your Page, post or story. This includes when someone's friend likes or follows your Page, engages with a post, shares a photo of your Page and checks into your Page.","day, week, days_28",page_posts_served_impressions_organic_unique,"The number of people who were served your Page's posts in their News Feed whether it entered their screen or not. Posts include statuses, photos, links, videos and more.","day, week, days_28",post_clicks*,The number of times people clicked on anywhere in your posts without generating a story.,lifetime,,,rsvp,Respond to an event,post_impressions_fan_paid*,The number of impressions for your Page post by people who like your Page in an Ad or Sponsored Story.,lifetime,post_reactions_by_type_total,Total post reactions by type.,lifetime,page_actions_post_reactions_total,Daily total post reactions of a page by type.,day,page_fan_adds_unique,The number of new people who have liked your Page.,"day, week, days_28",,,,,page_video_views_unique,"The number of people who viewed your Page's videos for at least 3 seconds, or for nearly their total length if they're shorter than 3 seconds. During a single instance of a video playing, we'll exclude any time spent replaying the video.","day, week, days_28",page_views_by_profile_tab_logged_in_unique,"The number of people logged in to Facebook who have viewed your Page's profile, broken down by each tab.","day, week, days_28",post_video_retention_graph_clicked_to_play,"The number of times your videos played at each interval as a percentage of all views, after people clicked play. Videos are divided into 40 equal intervals. This metric does not count impressions while the video was live. Retention graphs may show more impressions later in the video than at the beginning. People might start the video in the middle, skip ahead, save, and rewatch it from that point, or other similar behaviors.",lifetime,page_content_activity_by_action_type,"The number of stories about your Page's stories, by Page story type. (See possible types)","day, week, days_28",question,Question answers,,,,,,,
7,,,,,,,,photos_albums,Photos tab,page_call_phone_clicks_logged_in_unique,Number of people who logged in to Facebook and clicked the Call Now button.,"day, week, days_28",page_places_checkin_total_unique,The number of people who checked into a place.,"day, week, days_28",page_impressions_viral_unique*,"The number of people who had any content from your Page or about your Page enter their screen through with social information attached. As a form of organic distribution, social information displays when a person's friend interacted with your Page, post or story. This includes when someone's friend likes or follows your Page, engages with a post, shares a photo of your Page and checks into your Page.","day, week, days_28",page_posts_impressions_viral*,"The number of times your Page's posts entered a person's screen with social information attached. Social information displays when a person's friend interacted with you Page or post. This includes when someone's friend likes or follows your Page, engages with a post, shares a photo of your Page and checks into your Page.","day, week, days_28",post_clicks_unique*,The number of people who clicked anywhere in your post without generating a story.,lifetime,,,,,post_impressions_fan_paid_unique*,The number of people who have like your Page and saw your Page post in an Ad or Sponsored Story.,lifetime,,,,,,,page_fans_by_like_source,This is a breakdown of the number of Page likes from the most common places where people can like your Page. (See possible types),day,,,,,page_video_repeat_views,"The number of times your Page's videos were replayed for at least 3 seconds, or for nearly their total length if they're shorter than 3 seconds.","day, week, days_28",page_views_by_internal_referer_logged_in_unique,"The number of people logged in to Facebook who have viewed your Page, broken down by the internal referer within Facebook.","day, week, days_28",post_video_retention_graph_autoplayed,"The number of times your videos automatically played at each interval as a percentage of all automatic views. Videos are divided into 40 equal intervals.This metric does not count impressions while the video was live. Retention graphs may show more impressions later in the video than at the beginning. People might start the video in the middle, skip ahead, save, and rewatch it from that point, or other similar behaviors.",lifetime,post_activity*,The number of stories generated about your Page post ('Stories').,lifetime,user post,Posts by people on a Page,,,,,,,
